CLASS,CODE, URL,CRN,TYPE,SECTION,TIME,DAY,LOCATION,INSTRUCTOR
ENGL206,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/206,31983,Lecture-Discussion,P,11:00AM - 12:15PM,TR,119 English Building,"Cole, L"
ENGL208,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/208,31992,Lecture-Discussion,X,12:00PM - 12:50PM,MWF,140 Henry Administration Bldg,"Courtemanche, E"
ENGL209,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/209,31994,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,113 English Building,"Larkin, M"
ENGL209,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/209,31997,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,113 English Building,"Cornell, M"
ENGL209,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/209,32004,Discussion/ Recitation,AD3,12:00PM - 12:50PM,F,113 English Building,"Cornell, M"
ENGL209,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/209,32008,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,113 English Building,"Larkin, M"
ENGL209,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/209,32013,Lecture,AL1,10:00AM - 10:50AM,MW,1090 Lincoln Hall,"Perry, C"
ENGL216,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/216,70295,Lecture-Discussion,C,10:00AM - 10:50AM,MWF,119 English Building,"Brassell, C"
ENGL218,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/218,32058,Lecture-Discussion,E,11:00AM - 11:50AM,MWF,104 English Building,"Gray, C"
ENGL218,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/218,40489,Lecture-Discussion,S,02:00PM - 03:15PM,TR,119 English Building,"Gross, H"
ENGL220,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/220,65124,Lecture-Discussion,P,11:00AM - 12:15PM,TR,104 English Building,"Morris, D"
ENGL224,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/224,59361,Lecture-Discussion,1,02:00PM - 03:20PM,TR,103 1207 W Oregon,"Lopez Garcia, M"
ENGL245,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/245,32060,Lecture-Discussion,Q2,12:30PM - 01:45PM,TR,104 English Building,"Hudek, B"
ENGL250,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/250,32064,Lecture-Discussion,E,01:00PM - 01:50PM,MWF,127 English Building,"Becker, L"
ENGL251,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/251,32068,Lecture-Discussion,P,03:30PM - 04:45PM,TR,150 English Building,"Burstein, A"
ENGL255,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/255,32071,Discussion/ Recitation,AD1,10:00AM - 10:50AM,F,123 English Building,"Hersh, S"
ENGL255,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/255,32072,Discussion/ Recitation,AD2,11:00AM - 11:50AM,F,123 English Building,"Hersh, S"
ENGL255,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/255,32070,Discussion/ Recitation,AD3,12:00PM - 12:50PM,F,123 English Building,"Schmidt, A"
ENGL255,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/255,43188,Discussion/ Recitation,AD4,01:00PM - 01:50PM,F,123 English Building,"Schmidt, A"
ENGL255,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/255,32075,Lecture,AL1,12:00PM - 12:50PM,MW,160 English Building,"Loughran, P"
ENGL259,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/259,50053,Lecture-Discussion,D,11:00AM - 11:50AM,MWF,150 English Building,"Freeburg, C"
ENGL260,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/260,49622,Lecture-Discussion,T,03:30PM - 04:45PM,TR,119 English Building,"Humphrey, C"
ENGL261,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/261,63727,Lecture-Discussion,G,03:30PM - 04:45PM,MW,119 English Building,"Jenkins, C"
ENGL261,ENGL,https://courses.illinois.edu/schedule/2020/spring/ENGL/261,67440,Lecture-Discussion,S,02:00PM - 03:15PM,TR,104 English Building,"Dean, T"
